"","GEOID","rurality"
"1068","08059012046","Urban"
"1069","08059012047","Urban"
"1070","08059012048","Urban"
"1071","08059012049","Urban"
"1072","08059012050","Urban"
"1073","08059012051","Urban"
"1074","08059012052","Urban"
"1075","08059012053","Urban"
"1076","08059012054","Urban"
"1077","08059012055","Urban"
"1078","08059012057","Urban"
"1079","08005081500","Urban"
"1080","08005081600","Urban"
"1081","08005081700","Urban"
"1082","08005081800","Urban"
"1083","08005081900","Urban"
"1084","08005082000","Urban"
"1085","08005082100","Urban"
"1086","08005082200","Urban"
"1087","08005082300","Urban"
"1088","08005082400","Urban"
"1089","08005082500","Urban"
"1090","08005082600","Urban"
"1091","08005082700","Urban"
"1092","08005082800","Urban"
"1093","08005083100","Urban"
"1094","08005082900","Urban"
"1095","08005083000","Urban"
"1096","08005083200","Urban"
"1097","08005083300","Urban"
"1098","08005083400","Urban"
"1099","08005083500","Urban"
"1100","08005083600","Urban"
"1101","08005083700","Urban"
"1102","08005083800","Urban"
"1103","08005083900","Urban"
"1104","08005084000","Urban"
"1105","08005084100","Urban"
"1106","08005084200","Urban"
"1107","08005084300","Urban"
"1108","08005084400","Urban"
"1109","08005084500","Urban"
"1110","08005084600","Urban"
"1111","08005084700","Urban"
"1112","08005084800","Urban"
"1113","08005084900","Urban"
"1114","08005085000","Urban"
"1115","08005085100","Urban"
"1116","08005085200","Urban"
"1117","08005085300","Urban"
"1118","08005085400","Urban"
"1119","08005085500","Urban"
"1120","08005085600","Urban"
"1121","08005085700","Urban"
"1122","08005085800","Urban"
"1123","08059012058","Rural"
"1124","08059012059","Urban"
"1125","08059012060","Urban"
"1126","08059015800","Urban"
"1127","08059015900","Urban"
"1128","08059060300","Urban"
"1129","08059060400","Urban"
"1130","08059060500","Urban"
"1131","08059980000",NA
"1132","08059980400","Urban"
"1133","08061960100","Rural"
"1134","08063962100","Urban"
"1135","08063962200","Rural"
"1136","08063962300","Rural"
"1137","08065961700","Urban"
"1138","08065961900","Rural"
"1139","08067940300","Rural"
"1140","08067940400","Rural"
"1141","08005085900","Urban"
"1142","08005086000","Urban"
"1143","08005086100","Urban"
"1144","08005086200","Urban"
"1145","08005086300","Urban"
"1146","08005086400","Urban"
"1147","08005086500","Urban"
"1148","08005086600","Urban"
"1149","08005086700","Urban"
"1150","08005086800","Urban"
"1151","08005086900","Urban"
"1152","08059010213","Urban"
"1153","08059010303","Urban"
"1154","08059010304","Urban"
"1155","08059010305","Urban"
"1156","08059010306","Urban"
"1157","08059009836","Urban"
"1158","08059009840","Urban"
"1159","08059010100","Urban"
"1160","08059009841","Urban"
"1161","08059010211","Urban"
"1162","08059010307","Urban"
"1163","08059010308","Urban"
"1164","08059010402","Urban"
"1165","08059010403","Urban"
"1166","08059010503","Urban"
"1167","08059010405","Urban"
"1168","08059010406","Urban"
"1169","08059010502","Urban"
"1170","08059010504","Urban"
"1171","08059010603","Urban"
"1172","08059010604","Urban"
"1173","08059010701","Urban"
"1174","08059010702","Urban"
"1175","08059010801","Urban"
"1176","08059010901","Urban"
"1177","08059010902","Urban"
"1178","08059011000","Urban"
"1179","08059011100","Urban"
"1180","08059011202","Urban"
"1181","08059011300","Urban"
"1182","08059011401","Urban"
"1183","08059011402","Urban"
"1184","08059011550","Urban"
"1185","08059011702","Urban"
"1186","08059011601","Urban"
"1187","08005006300","Urban"
"1188","08005006400","Urban"
"1189","08005006501","Urban"
"1190","08005006502","Urban"
"1191","08005006601","Urban"
"1192","08005006603","Urban"
"1193","08005006604","Urban"
"1194","08005006704","Urban"
"1195","08005006705","Urban"
"1196","08005006706","Urban"
"1197","08005006707","Urban"
"1198","08005006708","Urban"
"1199","08005006709","Urban"
"1200","08005006711","Urban"
"1201","08005006712","Urban"
"1202","08005006854","Urban"
"1203","08005006713","Urban"
"1204","08005006808","Urban"
"1205","08005006815","Urban"
"1206","08005006855","Urban"
"1207","08005006856","Urban"
"1208","08005006857","Urban"
"1209","08005006858","Urban"
"1210","08005007105","Urban"
"1211","08005007101","Rural"
"1212","08005007103","Rural"
"1213","08005007104","Urban"
"1214","08005007106","Urban"
"1215","08005007107","Urban"
"1216","08005007201","Urban"
"1217","08005007202","Urban"
"1218","08005007301","Urban"
"1219","08005007302","Urban"
"1220","08005007400","Urban"
"1221","08005007500","Urban"
"1222","08005007600","Urban"
"1223","08005007702","Urban"
"1224","08005007703","Urban"
"1225","08005007704","Urban"
"1226","08005015100","Urban"
"1227","08005080000","Urban"
"1228","08005080100","Urban"
"1229","08005080200","Urban"
"1230","08059011602","Urban"
"1231","08059011701","Urban"
"1232","08059011708","Urban"
"1233","08059011709","Urban"
"1234","08059011710","Urban"
"1235","08059011711","Urban"
"1236","08059011712","Urban"
"1237","08059011720","Urban"
"1238","08059011721","Urban"
"1239","08059011723","Urban"
"1240","08059011724","Urban"
"1241","08059011725","Urban"
"1242","08059011726","Urban"
"1243","08059011727","Urban"
"1244","08059011728","Urban"
"1245","08059011729","Urban"
"1246","08059011730","Urban"
"1247","08059011731","Urban"
"1248","08059011732","Urban"
"1249","08059011733","Urban"
