"","GEOID","rurality"
"782","08041004503","Urban"
"783","08045951600","Urban"
"784","08045951802","Rural"
"785","08045952100","Urban"
"786","08051963700","Urban"
"787","08051963900","Rural"
"788","08051963800","Rural"
"789","08051963600","Rural"
"790","08053973100","Rural"
"791","08055960600","Urban"
"792","08055960900","Rural"
"793","08057955600","Rural"
"794","08059009824","Urban"
"795","08059009806","Urban"
"796","08059009807","Urban"
"797","08059009823","Urban"
"798","08059009808","Rural"
"799","08059009815","Urban"
"800","08059009827","Urban"
"801","08059009828","Urban"
"802","08059009829","Urban"
"803","08059009830","Urban"
"804","08059009831","Urban"
"805","08059009834","Urban"
"806","08059009832","Urban"
"807","08059009833","Urban"
"808","08059009835","Urban"
"809","08001009607","Urban"
"810","08001009608","Urban"
"811","08001060000","Urban"
"812","08001009751","Urban"
"813","08001009752","Urban"
"814","08001015000","Urban"
"815","08001060100","Urban"
"816","08001060200","Urban"
"817","08001061200","Urban"
"818","08001988700",NA
"819","08003960000","Rural"
"820","08003960100","Rural"
"821","08003960200","Urban"
"822","08003960300","Urban"
"823","08005004951","Urban"
"824","08005004952","Urban"
"825","08005005552","Urban"
"826","08005005551","Urban"
"827","08005005553","Urban"
"828","08005005611","Urban"
"829","08005005612","Urban"
"830","08005005614","Urban"
"831","08005005619","Urban"
"832","08005005623","Urban"
"833","08005005620","Urban"
"834","08005005621","Urban"
"835","08005005622","Urban"
"836","08005005624","Urban"
"837","08005005625","Urban"
"838","08005005626","Urban"
"839","08005005627","Urban"
"840","08005005628","Urban"
"841","08005005629","Urban"
"842","08005005630","Urban"
"843","08005005631","Urban"
"844","08005005632","Urban"
"845","08005005633","Urban"
"846","08005005634","Urban"
"847","08005005635","Urban"
"848","08005005636","Urban"
"849","08005005700","Urban"
"850","08005005800","Urban"
"851","08005005951","Urban"
"852","08005006200","Urban"
"853","08005005952","Urban"
"854","08005006000","Urban"
"855","08005006100","Urban"
"856","08059009837","Urban"
"857","08059009838","Urban"
"858","08059009839","Urban"
"859","08059009842","Urban"
"860","08059009843","Urban"
"861","08059009845","Urban"
"862","08059009846","Urban"
"863","08059009847","Urban"
"864","08059009848","Rural"
"865","08059009849","Urban"
"866","08059009850","Rural"
"867","08059009851","Urban"
"868","08059010205","Urban"
"869","08059009852","Urban"
"870","08059009900","Urban"
"871","08059010000","Urban"
"872","08059010206","Urban"
"873","08059010208","Urban"
"874","08059010209","Urban"
"875","08059010210","Urban"
"876","08059010212","Urban"
"877","08001008542","Urban"
"878","08001008543","Urban"
"879","08001008548","Urban"
"880","08001008544","Urban"
"881","08001008545","Urban"
"882","08001008547","Urban"
"883","08001008549","Urban"
"884","08001008550","Urban"
"885","08001008551","Urban"
"886","08001008603","Urban"
"887","08041005400","Urban"
"888","08041005501","Urban"
"889","08041005502","Urban"
"890","08041005601","Urban"
"891","08041005602","Urban"
"892","08041006000","Urban"
"893","08041005700","Urban"
"894","08041005800","Urban"
"895","08041005900","Urban"
